store,label_confidence,evaluated_item_count,strict_correct_count,strict_accuracy,allowed_correct_count,allowed_accuracy,uncategorized_count,real_mismatch_count,allowed_mismatch_count
ALL,ambiguous,109,73,67.0,94,86.2,0,14,21
ALL,clear,493,454,92.1,454,92.1,0,31,0
ALL,unknown,85,32,37.6,71,83.5,0,7,39
costco,ambiguous,48,26,54.2,37,77.1,0,10,11
costco,clear,246,229,93.1,229,93.1,0,11,0
costco,unknown,57,24,42.1,51,89.5,0,6,27
emart,ambiguous,41,29,70.7,38,92.7,0,3,9
emart,clear,105,91,86.7,91,86.7,0,14,0
emart,unknown,16,7,43.8,15,93.8,0,1,8
hanaro,ambiguous,20,18,90.0,19,95.0,0,1,1
hanaro,clear,142,134,94.4,134,94.4,0,6,0
hanaro,unknown,12,1,8.3,5,41.7,0,0,4
