gt_category,pred_category,status,count
,MISSING,missing_pred,5
간식,간편식,real_mismatch,4
간식,기타,real_mismatch,2
간편식,MISSING,missing_pred,1
간편식,간식,real_mismatch,3
간편식,기타,real_mismatch,1
간편식,식재료,real_mismatch,1
기타,간식,real_mismatch,3
기타,식재료,real_mismatch,2
기타,음료,real_mismatch,1
기타,주류,real_mismatch,1
생활용품,기타,real_mismatch,5
식재료,MISSING,missing_pred,7
식재료,간식,real_mismatch,2
식재료,간편식,real_mismatch,3
식재료,기타,real_mismatch,17
식재료,음료,real_mismatch,3
식재료,주류,real_mismatch,1
음료,MISSING,missing_pred,3
음료,기타,real_mismatch,2
음료,식재료,real_mismatch,1
