receipt_file,store,item_order,gt_name,semantic_name,gt_qty,pred_qty,gt_unit_price,pred_unit_price,gt_base_price,pred_base_price,gt_discount,pred_discount,gt_final_price,pred_final_price,review_decision,note
001_costco.json,costco,1,KS프리미엄화장지,KS프리미업화장치,1,1,23490,23490,23490,23490,2600,2600,20890,20890,,
001_costco.json,costco,2,튀김용 새우900G,튀김 새우900G,1,1,20990,20990,20990,20990,3500,3500,17490,17490,,
026_costco.json,costco,12,유기농 우유,유기농 무유,1,1,9590,9590,9590,9590,1800,1800,7790,7790,,
027_costco.json,costco,5,마누카 꿀 1KG,마누카 끌 1KG,2,2,48990,48990,97980,97980,15000,15000,82980,82980,,
087_emart.json,emart,1,키위,403,1,1,3000,3000,3000,3000,0,0,3000,3000,,
087_emart.json,emart,2,야채류,00026,1,1,3000,3000,3000,3000,0,0,3000,3000,,
087_emart.json,emart,5,아이스크림,22000120,1,1,2000,2000,2000,2000,0,0,2000,2000,,
087_emart.json,emart,7,비닐봉투,22000088,1,1,20,20,20,20,0,0,20,20,,
089_emart.json,emart,1,페즈캔디 디스펜서-슈,9044400841000,1,1,3480,3480,3480,3480,0,0,3480,3480,,
095_emart.json,emart,7,닥터페퍼355ml,880109405320B,4,4,900,900,3600,3600,600,600,3000,3000,,
096_emart.json,emart,4,04*(J)무항생제볶음탕용,250000032714B,1,1,7980,7980,7980,7980,0,0,7980,7980,,
049_hanaro.json,hanaro,6,쥬시쿨 에이드 - 사과 250ml,8801104308502,1,1,990,990,990,990,0,0,990,990,,
