receipt_file,store,item_order,gt_name,pred_name,gt_qty,pred_qty,gt_unit_price,pred_unit_price,gt_base_price,pred_base_price,gt_discount,pred_discount,gt_final_price,pred_final_price,missing_pred,qty_match,unit_price_match,base_price_match,discount_match,final_price_match,core_match
001_costco.json,costco,1,KS프리미엄화장지,KS프리미업화장치,1,1,23490,23490,23490,23490,2600,2600,20890,20890,False,True,True,True,True,True,True
001_costco.json,costco,2,튀김용 새우900G,튀김 새우900G,1,1,20990,20990,20990,20990,3500,3500,17490,17490,False,True,True,True,True,True,True
001_costco.json,costco,3,오리진단팥빵752G,오리진단팥빵752G,1,1,9290,9290,9290,9290,0,0,9290,9290,False,True,True,True,True,True,True
001_costco.json,costco,4,떡국떡1.9KG,떡국떡1.9KG,2,2,7290,7290,14580,14580,2600,2600,11980,11980,False,True,True,True,True,True,True
001_costco.json,costco,5,시누끼우동500GX4,시누끼우동500GX4,1,1,12790,12790,12790,12790,2800,2800,9990,9990,False,True,True,True,True,True,True
002_costco.json,costco,1,H&S 쿨 멘 솔 샴푸,H&S 쿨 멘 솔 샴푸,1,1,17990,17990,17990,17990,4000,4000,13990,13990,False,True,True,True,True,True,True
002_costco.json,costco,2,ADIDAS GOLF 폴로,ADIDAS GOLF 폴로,1,1,35990,35990,35990,35990,0,0,35990,35990,False,True,True,True,True,True,True
002_costco.json,costco,3,ADIDAS GOLF 폴로,ADIDAS GOLF 폴로,1,1,35990,35990,35990,35990,0,0,35990,35990,False,True,True,True,True,True,True
002_costco.json,costco,4,MILLET카고바지,MILLET카고바지,1,1,39990,39990,39990,39990,0,0,39990,39990,False,True,True,True,True,True,True
002_costco.json,costco,5,남성긴팔폴로티,남성긴팔폴로티,1,1,29990,29990,29990,29990,6000,6000,23990,23990,False,True,True,True,True,True,True
002_costco.json,costco,6,ADIDAS골프반바지,ADIDAS골프반바지,1,1,39990,39990,39990,39990,0,0,39990,39990,False,True,True,True,True,True,True
002_costco.json,costco,7,LEVIS남성청바지,LEVIS남성청바지,1,1,49990,49990,49990,49990,0,0,49990,49990,False,True,True,True,True,True,True
002_costco.json,costco,8,GUESS MEN JEANS,GUESS MEN JEANS,1,1,47990,47990,47990,47990,0,0,47990,47990,False,True,True,True,True,True,True
003_costco.json,costco,1,트토넨 ㅂ - 1664,트토넨 ㅂ - 1664,1,1,14790,14790,14790,14790,0,0,14790,14790,False,True,True,True,True,True,True
003_costco.json,costco,2,삿포로 6캔,삿포로 6캔,1,,11990,,11990,,0,0,11990,0,False,False,False,False,True,False,False
003_costco.json,costco,3,코다리냉면,,2,,12290,,24580,,4600,,19980,,True,False,False,False,False,False,False
003_costco.json,costco,4,2 을 체 ㄷ 츠 츠2.25,,1,,30990,,30990,,5000,,25990,,True,False,False,False,False,False,False
003_costco.json,costco,5,D 도산돈듀등갈비,,1,,31360,,31360,,0,,31360,,True,False,False,False,False,False,False
003_costco.json,costco,6,0 도산돈듀삼겹팩,,1,,47990,,47990,,4500,,43490,,True,False,False,False,False,False,False
003_costco.json,costco,7,생트림료가 트16EA,,1,,9390,,9390,,1900,,7490,,True,False,False,False,False,False,False
003_costco.json,costco,8,요구 르트65MLX40,,1,,3690,,3690,,0,,3690,,True,False,False,False,False,False,False
004_costco.json,costco,1,KS VFGFTARLE 5 5,KS VFGFTARLE 5 5,1,1,18990,18990,18990,18990,0,0,18990,18990,False,True,True,True,True,True,True
004_costco.json,costco,2,명령모짜렐라핫도,명령모짜렐라핫도,1,1,12990,12990,12990,12990,3000,3000,9990,9990,False,True,True,True,True,True,True
004_costco.json,costco,3,한우물새우볶음밥,한우물새우볶음밥,1,1,12990,12990,12990,12990,0,0,12990,12990,False,True,True,True,True,True,True
004_costco.json,costco,4,KS토스카노EV00,KS토스카노EV00,1,1,25990,25990,25990,25990,0,0,25990,25990,False,True,True,True,True,True,True
004_costco.json,costco,5,미국냉장부채살팩,미국냉장부채살팩,1,1,66710,66710,66710,66710,0,0,66710,66710,False,True,True,True,True,True,True
004_costco.json,costco,6,코다리냉면,코다리냉면,1,1,12290,12290,12290,12290,0,0,12290,12290,False,True,True,True,True,True,True
004_costco.json,costco,7,초밥&롤콤보,초밥&롤콤보,1,1,19990,19990,19990,19990,0,0,19990,19990,False,True,True,True,True,True,True
004_costco.json,costco,8,프리미엄회덮밥,프리미엄회덮밥,1,1,18990,18990,18990,18990,0,0,18990,18990,False,True,True,True,True,True,True
004_costco.json,costco,9,천도복숭아,,,,,,,,,,,,True,False,False,False,False,False,False
005_costco.json,costco,1,호주LA갈 비2.5K,호주LA갈 비2.5K,1,1,79900,79900,79900,79900,0,0,79900,79900,False,True,True,True,True,True,True
005_costco.json,costco,2,호주LA갈비2.5K,호주LA갈비2.5K,1,1,79900,79900,79900,79900,0,0,79900,79900,False,True,True,True,True,True,True
005_costco.json,costco,3,자연산 홍새우,자연산 홍새우,1,1,26990,26990,26990,26990,0,0,26990,26990,False,True,True,True,True,True,True
005_costco.json,costco,4,자연산 홍새우,자연산 홍새우,1,1,26990,26990,26990,26990,0,0,26990,26990,False,True,True,True,True,True,True
005_costco.json,costco,5,호주LA갈비2.5K,호주LA갈비2.5K,1,1,79900,79900,79900,79900,0,0,79900,79900,False,True,True,True,True,True,True
006_costco.json,costco,1,훼타치 즈465G,훼타치 즈465G,1,1,10890,10890,10890,10890,0,0,10890,10890,False,True,True,True,True,True,True
006_costco.json,costco,2,샤또몽페라레드,샤또몽페라레드,1,1,19990,19990,19990,19990,0,0,19990,19990,False,True,True,True,True,True,True
006_costco.json,costco,3,엘로우테일 CAB,엘로우테일 CAB,1,1,12990,12990,12990,12990,0,0,12990,12990,False,True,True,True,True,True,True
006_costco.json,costco,4,꽁떼 디깜삐아노,꽁떼 디깜삐아노,1,1,17490,17490,17490,17490,0,0,17490,17490,False,True,True,True,True,True,True
006_costco.json,costco,5,허브 6종,허브 6종,1,1,10990,10990,10990,10990,0,0,10990,10990,False,True,True,True,True,True,True
007_costco.json,costco,1,딸기 & 메로나,아보카도오일1L,1,6490,9690,1,9690,6490,0,0,9690,6490,False,False,False,False,True,False,False
007_costco.json,costco,2,아보카도오일1L,하림 닭가슴살,1,23490,20990,1,20990,23490,0,0,20990,23490,False,False,False,False,True,False,False
007_costco.json,costco,3,CUT&SLICE SAL,KS프리미엄화장 8),1,,6490,,6490,,1000,0,5490,0,False,False,False,False,False,False,False
007_costco.json,costco,4,연어,,1,,47180,,47180,,0,,47180,,True,False,False,False,False,False,False
007_costco.json,costco,5,오가니스트키즈,,1,,18490,,18490,,0,,18490,,True,False,False,False,False,False,False
007_costco.json,costco,6,스타벅스DG캡슐,,1,,37490,,37490,,0,,37490,,True,False,False,False,False,False,False
